Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2024-05-06;83,5128;83,825;82,8251;83,4244;;
2024-05-03;83,9443;84,3346;82,8199;82,9306;;
2024-05-02;83,968;84,4194;83,0755;83,637;;
2024-04-30;87,1035;87,7823;85,458;85,9952;;
2024-04-29;87,6273;88,2178;86,9553;87,2446;;
2024-04-26;88,2892;88,6342;87,6436;88,0694;;
2024-04-25;87,1956;87,995;86,2549;87,9865;;
2024-04-24;88,6941;88,7537;87,6607;88,1555;;
2024-04-23;87,3759;88,496;86,0535;88,37;;
2024-04-22;86,4396;87,2348;85,7969;87,1554;;
2024-04-19;88,9477;89,0139;86,2005;87,1998;;
2024-04-18;87,5478;87,7861;86,0944;87,0726;;
2024-04-17;89,738;89,8675;87,1444;87,3896;;
2024-04-16;90,7385;90,8312;89,4227;89,9558;;
2024-04-15;90,1259;90,3968;88,7531;90,3351;;
2024-04-12;90,7395;92,1589;90,1044;90,2865;;
2024-04-11;90,6182;90,9099;89,3854;90,2155;;
2024-04-10;89,5796;90,6406;88,8514;90,5759;;
2024-04-09;90,5448;90,9347;89,2883;89,5084;;
2024-04-08;89,7314;91,0939;89,4634;90,522;;
2024-04-05;91,2589;91,9075;90,5982;90,928;;
2024-04-04;89,6366;91,2641;88,7385;90,7562;;
2024-04-03;89,0759;89,9839;88,677;89,4246;;
2024-04-02;88,0144;89,0672;87,919;88,9615;;
2024-03-28;85,86;87,025;85,5047;86,954;;
2024-03-27;84,9583;85,6911;84,5844;85,6543;;
2024-03-26;85,9687;86,3452;85,2037;85,2451;;
2024-03-25;85,2083;86,5047;84,9414;86,1093;;
2024-03-22;84,9215;85,5661;84,6461;84,9778;;
2024-03-21;85,888;85,9846;84,5479;84,9703;;
2024-03-20;86,4806;86,4992;85,0052;85,5681;;
2024-03-19;86,8674;87,6949;86,5053;87,1712;;
2024-03-18;85,8805;87,1786;85,4598;86,9439;;
2024-03-15;85,3394;85,5415;84,6356;85,2994;;
2024-03-14;84,2236;85,6603;84,1218;85,1297;;
2024-03-13;82,532;84,2185;82,1574;83,9341;;
2024-03-12;82,6536;83,0035;81,6911;82,3845;;
2024-03-11;81,8553;82,7296;81,09;82,4491;;
2024-03-08;83,5983;83,835;81,7181;81,9438;;
2024-03-07;83,0785;83,4768;82,0855;82,8408;;
2024-03-06;82,3916;84,0351;82,1949;82,8756;;
2024-03-05;82,5562;83,1062;81,7335;82,0544;;
2024-03-04;83,6542;84,0746;82,5892;82,8143;;
2024-03-01;82,2732;84,3367;81,8147;83,3978;;
2024-02-29;82,1612;82,8252;81,5152;81,9439;;
2024-02-28;82,2091;83,1144;81,5707;82,0619;;
2024-02-27;82,0119;82,7351;81,2608;82,4732;;
2024-02-26;80,736;82,1349;80,2046;81,7151;;
2024-02-23;82,3914;82,3914;80,6483;80,8952;;
2024-02-22;82,4158;82,8962;81,3995;82,5732;;
2024-02-21;81,8134;82,2053;80,8855;82,1831;;
2024-02-20;83,5763;83,6325;82,0757;82,5151;;
2024-02-19;82,8691;83,5956;82,559;83,5298;;
2024-02-16;82,9489;83,6556;81,901;83,2735;;
2024-02-15;81,3956;83,2344;80,7241;82,8995;;
2024-02-14;82,7266;83,5952;81,3945;81,5408;;
2024-02-13;82,4273;83,2152;81,979;82,6444;;
2024-02-12;82,0526;82,1854;80,7956;82,0741;;
2024-02-09;81,6428;82,4387;81,2137;81,94;;
